restaurant_id,rate,votes
28777,"""2.8 /5""",64
42526,"""4.2 /5""",2854
47251,"""3.0 /5""",108
48751,,0
7866,"""NEW""",0
11695,"""3.0/5""",114
26917,"""NEW""",0
17570,"""4.3/5""",1651
20155,"""3.6/5""",45
21198,"""4.3 /5""",0
37398,,0
50912,"""3.8 /5""",99
3784,"""3.6/5""",34
27771,"""NEW""",0
9098,"""3.5/5""",22
24714,"""4.0/5""",377
2553,"""4.0/5""",774
47082,"""3.7 /5""",21
14475,,0
18299,"""2.8/5""",79
5155,"""4.1/5""",204
27030,"""3.0/5""",7
49532,,0
35005,"""3.9 /5""",373
39334,"""4.5 /5""",8405
31559,"""3.5 /5""",12
63,"""4.0/5""",808
41265,"""3.3 /5""",218
33270,,0
11722,"""3.7/5""",89
39914,"""4.0 /5""",471
19343,"""4.1/5""",1858
32044,"""4.9 /5""",2244
8628,"""3.5/5""",17
3354,"""3.7/5""",93
16816,"""4.4/5""",1799
46723,"""4.1 /5""",96
5815,"""3.9/5""",148
35421,"""3.8 /5""",267
35385,"""4.1 /5""",240
34635,,0
37273,"""4.0 /5""",126
21034,"""4.3 /5""",191
27223,"""4.2/5""",2714
3242,"""3.8/5""",918
46635,"""4.0 /5""",39
18546,"""4.1/5""",57
76,"""4.1/5""",558
27669,,0
47864,"""3.6 /5""",279
43718,"""4.3 /5""",606
21487,"""3.3 /5""",44
13769,,0
3306,"""3.4/5""",51
24572,"""3.8/5""",92
39906,"""3.6 /5""",41
44573,,0
5425,"""3.9/5""",134
5093,"""3.6/5""",7
43031,"""4.3 /5""",1054
4446,,0
14218,,0
5739,"""3.0/5""",31
33953,"""4.5 /5""",724
23132,"""3.6/5""",10
19725,"""3.6/5""",47
18296,"""3.6/5""",104
36687,"""4.7 /5""",4872
17671,"""3.9/5""",418
16404,"""3.8/5""",231
48086,,0
50731,"""3.4 /5""",37
32536,"""3.2 /5""",166
30090,"""3.7 /5""",70
39916,"""3.0 /5""",28
38281,"""4.0 /5""",54
26614,,0
41114,"""3.1 /5""",9
13140,"""3.6/5""",11
7639,"""3.0/5""",382
13417,"""NEW""",0
12657,"""4.1/5""",354
26487,"""4.5/5""",3156
47703,"""3.4 /5""",6
14177,,0
13350,"""2.9/5""",24
47940,,0
41629,"""3.5 /5""",11
11857,"""4.3/5""",394
41081,,0
10129,"""2.7/5""",16
299,"""4.1/5""",787
49262,"""4.1 /5""",251
35130,"""3.6 /5""",16
14881,"""4.0/5""",105
31057,"""4.5 /5""",3915
27745,"""3.5/5""",4
